system:index,array,.geo
0,"[[0.07062909753533109, 0.6489893198013306, 25.677642822265625, 2708.316162109375, 25.0, 0.0, 2003.0], [-0.003210701427346807, 0.5785464644432068, 25.677642822265625, 2708.316162109375, 31.0, 0.0, 2004.0], [-0.03927397643766284, 0.5458894371986389, 25.677642822265625, 2708.316162109375, 32.0, 0.0, 2005.0], [-0.04193159108772593, 0.5466287732124329, 25.677642822265625, 2708.316162109375, 21.0, 0.0, 2006.0], [-0.03707882756354963, 0.5548784732818604, 25.677642822265625, 2708.316162109375, 25.0, 0.0, 2007.0], [-0.04425256693895441, 0.5511016845703125, 25.677642822265625, 2708.316162109375, 32.0, 0.0, 2008.0], [-0.10387708825112707, 0.4948834180831909, 25.677642822265625, 2708.316162109375, 50.0, 0.0, 2009.0], [-0.004174142193686614, 0.5979833006858826, 25.677642822265625, 2708.316162109375, 24.0, 0.0, 2010.0], [0.11449504731732207, 0.7200494408607483, 25.677642822265625, 2708.316162109375, 37.0, 0.0, 2011.0], [0.0923740864762641, 0.7013254165649414, 25.677642822265625, 2708.316162109375, 32.0, 0.0, 2012.0], [-0.05771028738012007, 0.5818414688110352, 25.677642822265625, 2708.316162109375, 21.0, 0.0, 2021.0], [-0.08193119357986567, 0.5610175132751465, 25.677642822265625, 2708.316162109375, 36.0, 0.0, 2022.0], [0.10640826992178176, 0.7187658548355103, 25.677642822265625, 2708.316162109375, 18.0, 0.0, 2013.0], [0.010489472963521762, 0.6262440085411072, 25.677642822265625, 2708.316162109375, 37.0, 0.0, 2014.0], [-0.09050279763476898, 0.5286486744880676, 25.677642822265625, 2708.316162109375, 55.0, 0.0, 2015.0], [-0.11222680566022869, 0.5103216171264648, 25.677642822265625, 2708.316162109375, 36.0, 0.0, 2016.0], [0.05770118042811123, 0.683655858039856, 25.677642822265625, 2708.316162109375, 39.0, 0.0, 2017.0], [0.09069782670375237, 0.7200494408607483, 25.677642822265625, 2708.316162109375, 29.0, 0.0, 2018.0], [-0.027712246518698302, 0.6050363183021545, 25.677642822265625, 2708.316162109375, 28.0, 0.0, 2019.0], [0.10108724332765207, 0.7372327446937561, 25.677642822265625, 2708.316162109375, 35.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[-58.922637036361124,-0.788694618830653]}"
8,"[[0.026128306976308413, 0.7025395631790161, 19.5446834564209, 2493.385009765625, 174.0, 0.0, 2003.0], [0.028210508195507855, 0.7013254165649414, 19.5446834564209, 2493.385009765625, 186.0, 0.0, 2004.0], [-0.02082021210345808, 0.6489893198013306, 19.5446834564209, 2493.385009765625, 163.0, 0.0, 2005.0], [-0.03546282893940278, 0.6310503482818604, 19.5446834564209, 2493.385009765625, 169.0, 0.0, 2006.0], [0.09363769791092957, 0.7568545341491699, 19.5446834564209, 2493.385009765625, 164.0, 0.0, 2007.0], [0.008095654137881603, 0.6680161356925964, 19.5446834564209, 2493.385009765625, 183.0, 0.0, 2008.0], [0.004929761169513824, 0.6615448594093323, 19.5446834564209, 2493.385009765625, 168.0, 0.0, 2009.0], [-0.039237255296041385, 0.6140815019607544, 19.5446834564209, 2493.385009765625, 166.0, 0.0, 2010.0], [-0.02945049123827881, 0.6205719113349915, 19.5446834564209, 2493.385009765625, 178.0, 0.0, 2011.0], [-0.044353236444526156, 0.6023728251457214, 19.5446834564209, 2493.385009765625, 170.0, 0.0, 2012.0], [0.03712807888039227, 0.6541599035263062, 19.5446834564209, 2493.385009765625, 162.0, 0.0, 2021.0], [-0.013125809813767653, 0.6006096601486206, 19.5446834564209, 2493.385009765625, 163.0, 0.0, 2022.0], [-0.0514814077789828, 0.5919392704963684, 19.5446834564209, 2493.385009765625, 137.0, 0.0, 2013.0], [-0.04126799367391798, 0.5988563299179077, 19.5446834564209, 2493.385009765625, 152.0, 0.0, 2014.0], [0.024716876800529253, 0.6615448594093323, 19.5446834564209, 2493.385009765625, 198.0, 0.0, 2015.0], [0.004373671738266305, 0.6379052996635437, 19.5446834564209, 2493.385009765625, 169.0, 0.0, 2016.0], [-0.017974724453520774, 0.6122515201568604, 19.5446834564209, 2493.385009765625, 196.0, 0.0, 2017.0], [0.03999838769344244, 0.6669282913208008, 19.5446834564209, 2493.385009765625, 158.0, 0.0, 2018.0], [0.008386924536391782, 0.6320204734802246, 19.5446834564209, 2493.385009765625, 150.0, 0.0, 2019.0], [0.017568091702733546, 0.6379052996635437, 19.5446834564209, 2493.385009765625, 173.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[11.459407735017528,6.906609574284492]}"
23,"[[-0.07904577455979817, 0.3761124312877655, 9.447887420654297, 818.0703735351562, 181.0, 0.0, 2003.0], [-0.08198080388422702, 0.370572566986084, 9.447887420654297, 818.0703735351562, 75.0, 0.0, 2004.0], [-0.09582588535435016, 0.3541155159473419, 9.447887420654297, 818.0703735351562, 98.0, 0.0, 2005.0], [-0.10540697616965167, 0.3419295847415924, 9.447887420654297, 818.0703735351562, 102.0, 0.0, 2006.0], [0.08884839303101766, 0.5335801243782043, 9.447887420654297, 818.0703735351562, 105.0, 0.0, 2007.0], [0.13073525732817337, 0.5728621482849121, 9.447887420654297, 818.0703735351562, 71.0, 0.0, 2008.0], [-0.029378603728601904, 0.41013631224632263, 9.447887420654297, 818.0703735351562, 90.0, 0.0, 2009.0], [0.05609587476886613, 0.4930059611797333, 9.447887420654297, 818.0703735351562, 67.0, 0.0, 2010.0], [0.07601637110604564, 0.5103216171264648, 9.447887420654297, 818.0703735351562, 116.0, 0.0, 2011.0], [0.28072487508187677, 0.7124252915382385, 9.447887420654297, 818.0703735351562, 72.0, 0.0, 2012.0], [0.01913596067055956, 0.42737144231796265, 9.447887420654297, 818.0703735351562, 96.0, 0.0, 2021.0], [-0.07169517186799335, 0.3339354693889618, 9.447887420654297, 818.0703735351562, 133.0, 0.0, 2022.0], [-0.0446992198063042, 0.3843892216682434, 9.447887420654297, 818.0703735351562, 67.0, 0.0, 2013.0], [0.031155169257773563, 0.45763877034187317, 9.447887420654297, 818.0703735351562, 65.0, 0.0, 2014.0], [0.07226254298648854, 0.49614131450653076, 9.447887420654297, 818.0703735351562, 97.0, 0.0, 2015.0], [-0.07585497127356094, 0.3454189598560333, 9.447887420654297, 818.0703735351562, 103.0, 0.0, 2016.0], [-0.07518634613000358, 0.3434756100177765, 9.447887420654297, 818.0703735351562, 80.0, 0.0, 2017.0], [-0.11627681738343576, 0.29978030920028687, 9.447887420654297, 818.0703735351562, 116.0, 0.0, 2018.0], [0.0783082657361992, 0.4917605519294739, 9.447887420654297, 818.0703735351562, 105.0, 0.0, 2019.0], [-0.057932139809072636, 0.35291531682014465, 9.447887420654297, 818.0703735351562, 144.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[6.840477138653329,49.99520453262584]}"
24,"[[0.04187832453130502, 1.2722620964050293, 21.461366653442383, 9.14596939086914, 552.0, 0.0, 2003.0], [0.03997586705039646, 1.2648770809173584, 21.461366653442383, 9.14596939086914, 567.0, 0.0, 2004.0], [0.031205281808524, 1.2506089210510254, 21.461366653442383, 9.14596939086914, 568.0, 0.0, 2005.0], [0.036687851208774935, 1.2506089210510254, 21.461366653442383, 9.14596939086914, 536.0, 0.0, 2006.0], [0.0028883143106965825, 1.2113268375396729, 21.461366653442383, 9.14596939086914, 568.0, 0.0, 2007.0], [-0.031995169870290496, 1.170960783958435, 21.461366653442383, 9.14596939086914, 541.0, 0.0, 2008.0], [-0.04232512043528813, 1.1551332473754883, 21.461366653442383, 9.14596939086914, 576.0, 0.0, 2009.0], [-0.03684257382201417, 1.1551332473754883, 21.461366653442383, 9.14596939086914, 599.0, 0.0, 2010.0], [-0.004519198414377978, 1.1819740533828735, 21.461366653442383, 9.14596939086914, 541.0, 0.0, 2011.0], [-0.015414935301775179, 1.1655957698822021, 21.461366653442383, 9.14596939086914, 551.0, 0.0, 2012.0], [0.10533864644724855, 1.2369612455368042, 21.461366653442383, 9.14596939086914, 559.0, 0.0, 2021.0], [0.061489073971278785, 1.1876291036605835, 21.461366653442383, 9.14596939086914, 509.0, 0.0, 2022.0], [-0.00991734928382626, 1.1655957698822021, 21.461366653442383, 9.14596939086914, 582.0, 0.0, 2013.0], [-0.029964879752349738, 1.1400656700134277, 21.461366653442383, 9.14596939086914, 556.0, 0.0, 2014.0], [-0.034139954522742766, 1.1304080486297607, 21.461366653442383, 9.14596939086914, 530.0, 0.0, 2015.0], [-0.05157596708507728, 1.1074894666671753, 21.461366653442383, 9.14596939086914, 578.0, 0.0, 2016.0], [0.012027922147898495, 1.1655957698822021, 21.461366653442383, 9.14596939086914, 572.0, 0.0, 2017.0], [-0.04498547812298259, 1.1030998229980469, 21.461366653442383, 9.14596939086914, 565.0, 0.0, 2018.0], [-0.08031957341847162, 1.0622831583023071, 21.461366653442383, 9.14596939086914, 582.0, 0.0, 2019.0], [0.05050891855307893, 1.1876291036605835, 21.461366653442383, 9.14596939086914, 516.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[29.427899036078177,28.99394375021229]}"
31,"[[-0.07339321810309807, 0.642894983291626, -1.326373815536499, 600.1242065429688, 105.0, 0.0, 2003.0], [-0.025113388077885768, 0.683655858039856, -1.326373815536499, 600.1242065429688, 118.0, 0.0, 2004.0], [-0.009451692401842182, 0.6917780041694641, -1.326373815536499, 600.1242065429688, 95.0, 0.0, 2005.0], [0.013732750054336829, 0.7074434757232666, -1.326373815536499, 600.1242065429688, 116.0, 0.0, 2006.0], [0.011519264493064951, 0.6977110505104065, -1.326373815536499, 600.1242065429688, 124.0, 0.0, 2007.0], [0.06404206678200763, 0.7427148818969727, -1.326373815536499, 600.1242065429688, 114.0, 0.0, 2008.0], [-0.04868200415837609, 0.6224512457847595, -1.326373815536499, 600.1242065429688, 116.0, 0.0, 2009.0], [0.1141710505215936, 0.7777853608131409, -1.326373815536499, 600.1242065429688, 105.0, 0.0, 2010.0], [0.014107869534168982, 0.6702032089233398, -1.326373815536499, 600.1242065429688, 140.0, 0.0, 2011.0], [0.015110769814266733, 0.6636871695518494, -1.326373815536499, 600.1242065429688, 87.0, 0.0, 2012.0], [-0.03789459406975204, 0.542949378490448, -1.326373815536499, 600.1242065429688, 103.0, 0.0, 2021.0], [-0.04607119506678958, 0.5272538065910339, -1.326373815536499, 600.1242065429688, 93.0, 0.0, 2022.0], [-0.04479232057725824, 0.5962445139884949, -1.326373815536499, 600.1242065429688, 93.0, 0.0, 2013.0], [0.030169305888472664, 0.6636871695518494, -1.326373815536499, 600.1242065429688, 143.0, 0.0, 2014.0], [-0.06498141073664199, 0.5610175132751465, -1.326373815536499, 600.1242065429688, 123.0, 0.0, 2015.0], [0.0020919582255795044, 0.6205719113349915, -1.326373815536499, 600.1242065429688, 111.0, 0.0, 2016.0], [0.038048931863748026, 0.6489893198013306, -1.326373815536499, 600.1242065429688, 115.0, 0.0, 2017.0], [-0.0028117881373737053, 0.6006096601486206, -1.326373815536499, 600.1242065429688, 143.0, 0.0, 2018.0], [0.03709116113185473, 0.6329936385154724, -1.326373815536499, 600.1242065429688, 102.0, 0.0, 2019.0], [0.013106483019923676, 0.6014900207519531, -1.326373815536499, 600.1242065429688, 107.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[124.47772266875064,52.13808471501696]}"
32,"[[-0.026719066187873897, 0.6140815019607544, -2.9796974658966064, 737.1845092773438, 50.0, 0.0, 2003.0], [0.01429366326227044, 0.6552042961120605, -2.9796974658966064, 737.1845092773438, 72.0, 0.0, 2004.0], [-0.007051155628382766, 0.6339698433876038, -2.9796974658966064, 737.1845092773438, 54.0, 0.0, 2005.0], [0.03910718297184712, 0.6802382469177246, -2.9796974658966064, 737.1845092773438, 37.0, 0.0, 2006.0], [0.005703573253290184, 0.6469447016716003, -2.9796974658966064, 737.1845092773438, 41.0, 0.0, 2007.0], [-0.07248714582088789, 0.5688640475273132, -2.9796974658966064, 737.1845092773438, 40.0, 0.0, 2008.0], [0.053862801581183506, 0.6953243613243103, -2.9796974658966064, 737.1845092773438, 57.0, 0.0, 2009.0], [0.014680581156297334, 0.6562522053718567, -2.9796974658966064, 737.1845092773438, 63.0, 0.0, 2010.0], [0.02416251289617566, 0.665844202041626, -2.9796974658966064, 737.1845092773438, 30.0, 0.0, 2011.0], [-0.08309047683870818, 0.5587012767791748, -2.9796974658966064, 737.1845092773438, 68.0, 0.0, 2012.0], [0.0420201256514412, 0.6848033666610718, -2.9796974658966064, 737.1845092773438, 60.0, 0.0, 2021.0], [-0.09994392744907354, 0.542949378490448, -2.9796974658966064, 737.1845092773438, 54.0, 0.0, 2022.0], [0.005042581658791789, 0.6469447016716003, -2.9796974658966064, 737.1845092773438, 47.0, 0.0, 2013.0], [-0.0324858487496148, 0.6095263361930847, -2.9796974658966064, 737.1845092773438, 82.0, 0.0, 2014.0], [0.11185290355422817, 0.7539751529693604, -2.9796974658966064, 737.1845092773438, 34.0, 0.0, 2015.0], [0.03239135384879399, 0.6746236681938171, -2.9796974658966064, 737.1845092773438, 36.0, 0.0, 2016.0], [-0.1023060620303845, 0.5400366187095642, -2.9796974658966064, 737.1845092773438, 65.0, 0.0, 2017.0], [-0.022816269172494907, 0.6196364760398865, -2.9796974658966064, 737.1845092773438, 70.0, 0.0, 2018.0], [-0.04718405361914002, 0.5953787565231323, -2.9796974658966064, 737.1845092773438, 73.0, 0.0, 2019.0], [0.150966725662242, 0.793639600276947, -2.9796974658966064, 737.1845092773438, 59.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[-128.16305706310234,58.0824177948827]}"
35,"[[0.09217242765352107, 0.8604368567466736, -4.633998394012451, 575.1246948242188, 160.0, 0.0, 2003.0], [0.03220833487156893, 0.801877498626709, -4.633998394012451, 575.1246948242188, 141.0, 0.0, 2004.0], [0.0021034540699456095, 0.7731812000274658, -4.633998394012451, 575.1246948242188, 146.0, 0.0, 2005.0], [-0.06503900781546756, 0.7074434757232666, -4.633998394012451, 575.1246948242188, 109.0, 0.0, 2006.0], [-0.005243657256135292, 0.7686435580253601, -4.633998394012451, 575.1246948242188, 93.0, 0.0, 2007.0], [-0.015531394257515263, 0.7597605586051941, -4.633998394012451, 575.1246948242188, 127.0, 0.0, 2008.0], [-0.09418801624054152, 0.6825125217437744, -4.633998394012451, 575.1246948242188, 85.0, 0.0, 2009.0], [-0.0618910301297565, 0.7162142395973206, -4.633998394012451, 575.1246948242188, 138.0, 0.0, 2010.0], [-0.02120582859353881, 0.7583041787147522, -4.633998394012451, 575.1246948242188, 179.0, 0.0, 2011.0], [0.022636636814884148, 0.8035513758659363, -4.633998394012451, 575.1246948242188, 138.0, 0.0, 2012.0], [-0.020387702360331494, 0.7731812000274658, -4.633998394012451, 575.1246948242188, 151.0, 0.0, 2021.0], [-0.026330081943651162, 0.7686435580253601, -4.633998394012451, 575.1246948242188, 167.0, 0.0, 2022.0], [0.05299243977768908, 0.8353157639503479, -4.633998394012451, 575.1246948242188, 183.0, 0.0, 2013.0], [3.0321018063650396E-4, 0.7840312719345093, -4.633998394012451, 575.1246948242188, 176.0, 0.0, 2014.0], [-0.0011015215621246188, 0.7840312719345093, -4.633998394012451, 575.1246948242188, 137.0, 0.0, 2015.0], [0.05820375376941167, 0.8447412848472595, -4.633998394012451, 575.1246948242188, 152.0, 0.0, 2016.0], [-0.036824118366202474, 0.751121997833252, -4.633998394012451, 575.1246948242188, 174.0, 0.0, 2017.0], [0.08760805870832755, 0.8769589066505432, -4.633998394012451, 575.1246948242188, 130.0, 0.0, 2018.0], [-0.02211202749806951, 0.7686435580253601, -4.633998394012451, 575.1246948242188, 165.0, 0.0, 2019.0], [0.02162607017735174, 0.8137863874435425, -4.633998394012451, 575.1246948242188, 186.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[-88.7057005518747,56.1803539137779]}"
44,"[[-0.06682104817635065, 0.3817518353462219, 10.500290870666504, 779.523193359375, 268.0, 0.0, 2003.0], [0.041541506399313866, 0.4892844259738922, 10.500290870666504, 779.523193359375, 244.0, 0.0, 2004.0], [0.023818787881207615, 0.4707294702529907, 10.500290870666504, 779.523193359375, 248.0, 0.0, 2005.0], [-0.023232372849830707, 0.42284834384918213, 10.500290870666504, 779.523193359375, 263.0, 0.0, 2006.0], [0.045888925671376424, 0.491139680147171, 10.500290870666504, 779.523193359375, 223.0, 0.0, 2007.0], [-0.012973342456741366, 0.43144744634628296, 10.500290870666504, 779.523193359375, 254.0, 0.0, 2008.0], [-0.005926127218440158, 0.43766242265701294, 10.500290870666504, 779.523193359375, 269.0, 0.0, 2009.0], [0.012658240741701299, 0.45541682839393616, 10.500290870666504, 779.523193359375, 227.0, 0.0, 2010.0], [-0.009453859778155382, 0.4324747622013092, 10.500290870666504, 779.523193359375, 243.0, 0.0, 2011.0], [0.020466745374140005, 0.46156540513038635, 10.500290870666504, 779.523193359375, 222.0, 0.0, 2012.0], [-0.030592091603300897, 0.40303006768226624, 10.500290870666504, 779.523193359375, 305.0, 0.0, 2021.0], [0.0059181383040122215, 0.4387103319168091, 10.500290870666504, 779.523193359375, 245.0, 0.0, 2022.0], [0.006416717780257375, 0.4466831386089325, 10.500290870666504, 779.523193359375, 254.0, 0.0, 2013.0], [-0.019073028947408754, 0.4203634262084961, 10.500290870666504, 779.523193359375, 248.0, 0.0, 2014.0], [-0.006131730731377405, 0.4324747622013092, 10.500290870666504, 779.523193359375, 274.0, 0.0, 2015.0], [-0.019878527973264726, 0.4178979992866516, 10.500290870666504, 779.523193359375, 257.0, 0.0, 2016.0], [-0.040404630024315935, 0.3965396583080292, 10.500290870666504, 779.523193359375, 262.0, 0.0, 2017.0], [0.06639324129657381, 0.5025075674057007, 10.500290870666504, 779.523193359375, 259.0, 0.0, 2018.0], [0.0076529242716664725, 0.44293728470802307, 10.500290870666504, 779.523193359375, 243.0, 0.0, 2019.0], [0.0037315320389368356, 0.4381859302520752, 10.500290870666504, 779.523193359375, 296.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[-121.20405766890794,45.72127940313666]}"
60,"[[-0.0347140620114601, 0.5835020542144775, 26.74374771118164, 1113.948974609375, 45.0, 0.0, 2003.0], [-0.033398377482968256, 0.5885371565818787, 26.74374771118164, 1113.948974609375, 49.0, 0.0, 2004.0], [0.0024925955554249146, 0.6281577348709106, 26.74374771118164, 1113.948974609375, 41.0, 0.0, 2005.0], [0.0016657833980180392, 0.6310503482818604, 26.74374771118164, 1113.948974609375, 54.0, 0.0, 2006.0], [0.03600381976835354, 0.6691077947616577, 26.74374771118164, 1113.948974609375, 66.0, 0.0, 2007.0], [-0.013428255622238261, 0.6233951449394226, 26.74374771118164, 1113.948974609375, 68.0, 0.0, 2008.0], [-0.06688507006411648, 0.5736679434776306, 26.74374771118164, 1113.948974609375, 64.0, 0.0, 2009.0], [0.19290592584372512, 0.8371783494949341, 26.74374771118164, 1113.948974609375, 44.0, 0.0, 2010.0], [-0.041167212760214955, 0.6068246364593506, 26.74374771118164, 1113.948974609375, 63.0, 0.0, 2011.0], [0.07615223125248505, 0.7278634905815125, 26.74374771118164, 1113.948974609375, 56.0, 0.0, 2012.0], [-0.044327020284583574, 0.640889585018158, 26.74374771118164, 1113.948974609375, 65.0, 0.0, 2021.0], [0.024747157090480143, 0.7136831879615784, 26.74374771118164, 1113.948974609375, 82.0, 0.0, 2022.0], [-0.03109896719207872, 0.6243419051170349, 26.74374771118164, 1113.948974609375, 74.0, 0.0, 2013.0], [-0.13398728943554528, 0.525173008441925, 26.74374771118164, 1113.948974609375, 38.0, 0.0, 2014.0], [-0.030859234506707467, 0.6320204734802246, 26.74374771118164, 1113.948974609375, 84.0, 0.0, 2015.0], [0.16686501210511162, 0.8334641456604004, 26.74374771118164, 1113.948974609375, 70.0, 0.0, 2016.0], [-0.013025115229680417, 0.6573036313056946, 26.74374771118164, 1113.948974609375, 65.0, 0.0, 2017.0], [-0.03515127411080976, 0.6388968825340271, 26.74374771118164, 1113.948974609375, 78.0, 0.0, 2018.0], [-0.05247605589559701, 0.6252915263175964, 26.74374771118164, 1113.948974609375, 65.0, 0.0, 2019.0], [0.02968540958240451, 0.7111724019050598, 26.74374771118164, 1113.948974609375, 81.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[2.0151081299855105,7.324728286902441]}"
66,"[[0.018138439715751242, 0.5851714611053467, 8.885797500610352, 981.3427734375, 111.0, 0.0, 2003.0], [-0.050958065844615597, 0.5196908712387085, 8.885797500610352, 981.3427734375, 99.0, 0.0, 2004.0], [0.05006714841857651, 0.6243419051170349, 8.885797500610352, 981.3427734375, 98.0, 0.0, 2005.0], [-0.06690906054848034, 0.5109816193580627, 8.885797500610352, 981.3427734375, 88.0, 0.0, 2006.0], [-0.04507324896695808, 0.5364333391189575, 8.885797500610352, 981.3427734375, 104.0, 0.0, 2007.0], [0.05179430494058823, 0.6369168162345886, 8.885797500610352, 981.3427734375, 94.0, 0.0, 2008.0], [-0.005246284209013297, 0.5835020542144775, 8.885797500610352, 981.3427734375, 98.0, 0.0, 2009.0], [0.029145961050182412, 0.6215102076530457, 8.885797500610352, 981.3427734375, 81.0, 0.0, 2010.0], [-0.01579052452057328, 0.5801896452903748, 8.885797500610352, 981.3427734375, 157.0, 0.0, 2011.0], [-0.022684211325433967, 0.5769118666648865, 8.885797500610352, 981.3427734375, 114.0, 0.0, 2012.0], [-0.14102937339399246, 0.491139680147171, 8.885797500610352, 981.3427734375, 120.0, 0.0, 2021.0], [0.07789821121233009, 0.7136831879615784, 8.885797500610352, 981.3427734375, 118.0, 0.0, 2022.0], [0.16843943607052725, 0.7716613411903381, 8.885797500610352, 981.3427734375, 83.0, 0.0, 2013.0], [-0.007981498409987964, 0.5988563299179077, 8.885797500610352, 981.3427734375, 88.0, 0.0, 2014.0], [-0.0825032708280995, 0.5279504656791687, 8.885797500610352, 981.3427734375, 132.0, 0.0, 2015.0], [0.06278781175071158, 0.6768574714660645, 8.885797500610352, 981.3427734375, 104.0, 0.0, 2016.0], [-0.09458950787908404, 0.5231059789657593, 8.885797500610352, 981.3427734375, 146.0, 0.0, 2017.0], [0.07880458369358811, 0.700115978717804, 8.885797500610352, 981.3427734375, 91.0, 0.0, 2018.0], [-0.08197793974185252, 0.542949378490448, 8.885797500610352, 981.3427734375, 133.0, 0.0, 2019.0], [0.0776670888158355, 0.7062103152275085, 8.885797500610352, 981.3427734375, 144.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[3.8306466213870305,45.53287646496848]}"
